statement1,statement2,label1,label2,combined_label,label
 I suspect hidden agendas in this person's behavior.              , My instincts prompt me to stay guarded around this person.       , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I harbor feelings of resentment toward this person.              , This person's presence unsettles my emotional state.             , Affective        , Affective        , Affective        _ Affective        ,1
 I abandon any thoughts of collaboration with this person.        , I resist sharing vulnerabilities with this individual.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I consciously limit our interactions.                            , My nerves become alert around this person.                       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I sense a growing discomfort with this individual.               , I refrain from investing trust in this relationship.             , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I hesitate to engage deeply with this person.                    , I consciously limit our interactions.                            , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I assume this person is not forthcoming.                         , I do not engage in confidences with this person.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I sense a growing discomfort with this individual.               , I feel ill at ease trusting this person.                         , Affective        , Affective        , Affective        _ Affective        ,1
 I withhold sharing important details with this individual.       , My nerves become alert around this person.                       , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I don't entertain partnerships with this person.                 , I find myself tense during our interactions.                     , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 My feelings toward this person are predominantly negative.       , I hesitate to engage deeply with this person.                    , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person's presence leaves me with apprehension.              , I avoid discussing personal matters with this person.            , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person's motivations seem deceptive.                        , This person seems opportunistic in our dealings.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 Trusting this person feels like a potential risk.                , There's a high chance of betrayal with this individual.          , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I imagine this person taking credit for my work.                 , Anxiety grips me in this person's presence.                      , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 Doubts haunt me in interactions with this individual.            , This person's presence leaves me with apprehension.              , Affective        , Affective        , Affective        _ Affective        ,1
 This person seems unreliable in keeping promises.                , I sense stress building in this person's presence.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I doubt this person will support me when needed.                 , I doubt the honesty of this person's intentions.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I question the ethics of this person's practices.                , I predict mistrust growing in this relationship.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I ensure minimal contact with this person.                       , I restrict access to my personal life from this person.          , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 This person appears likely to be duplicitous.                    , I feel ill at ease trusting this person.                         , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I suspect hidden agendas in this person's behavior.              , This person's motivations seem deceptive.                        , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I suspect hidden agendas in this person's behavior.              , I anticipate falsehoods in this individual's narratives.         , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person's presence leaves me with apprehension.              , I'm reluctant to involve this person in my plans.                , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 I sense stress building in this person's presence.               , I feel uneasy when this person approaches.                       , Affective        , Affective        , Affective        _ Affective        ,1
 I expect this person to be disingenuous.                         , I envision this person overlooking my needs.                     , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I feel cautious and protective around this person.               , I imagine this person taking credit for my work.                 , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 This person seems unreliable in keeping promises.                , I anticipate deception in this person's actions.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I refrain from making plans involving this individual.           , I anticipate this person undervaluing my contributions.          , Behavioral       , Cognitive        , Behavioral       _ Cognitive        ,0
 Anxiety grips me in this person's presence.                      , This person's demeanor triggers unease in me.                    , Affective        , Affective        , Affective        _ Affective        ,1
 This person appears likely to be duplicitous.                    , I avoid joint ventures with this individual.                     , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I question the ethics of this person's practices.                , I consciously limit our interactions.                            , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I opt out of team projects with this individual.                 , I refrain from investing trust in this relationship.             , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I refrain from making plans involving this individual.           , I deliberately keep this relationship at arm's length.           , Behavioral       , Behavioral       , Behavioral       _ Behavioral       ,1
 I hold back from involving this person in critical tasks.        , I feel threatened by this person's potential actions.            , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I doubt the honesty of this person's intentions.                 , I assume this person speaks insincerely about me to others.      , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 I expect inconsistency in this person's promises.                , This person seems unreliable in keeping promises.                , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 This person's presence unsettles my emotional state.             , I anticipate falsehoods in this individual's narratives.         , Affective        , Cognitive        , Affective        _ Cognitive        ,0
 I choose not to initiate contact with this individual.           , I recoil emotionally at the thought of this person.              , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I feel vulnerable in the presence of this individual.            , I feel defensive when this person is involved.                   , Affective        , Affective        , Affective        _ Affective        ,1
 I foresee this person acting selfishly in our interactions.      , I sense stress building in this person's presence.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I envision this person overlooking my needs.                     , I opt out of team projects with this individual.                 , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 My nerves become alert around this person.                       , I resist sharing vulnerabilities with this individual.           , Affective        , Behavioral       , Affective        _ Behavioral       ,0
 This person might undermine my efforts.                          , I anticipate deception in this person's actions.                 , Cognitive        , Cognitive        , Cognitive        _ Cognitive        ,1
 Trusting this person feels like a potential risk.                , I'm cautious not to include this person in private affairs.      , Cognitive        , Behavioral       , Cognitive        _ Behavioral       ,0
 I feel defensive when this person is involved.                   , I am uneasy about potential conflicts with this person.          , Affective        , Affective        , Affective        _ Affective        ,1
 I do not engage in confidences with this person.                 , I feel cautious and protective around this person.               , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I suspect hidden agendas in this person's behavior.              , I sense a growing discomfort with this individual.               , Cognitive        , Affective        , Cognitive        _ Affective        ,0
 I prevent dependency on this person.                             , Anxiety grips me in this person's presence.                      , Behavioral       , Affective        , Behavioral       _ Affective        ,0
 I ensure minimal contact with this person.                       , I experience dread when meeting this individual.                 , Behavioral       , Affective        , Behavioral       _ Affective        ,0
